Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2018-11-13,Before Sunrise,1995,https://boxd.it/yLgEr,4.5,,"Every train ride has a predefined start and end. Each life begins with birth and ends with death. It is the moments in between, it is the relationships we make, it is the journey that matters.",,2018-11-12
2018-11-13,Before Sunset,2004,https://boxd.it/yLJYZ,4.5,,"Baby, you are gonna miss that flight",,2018-11-13
2018-11-20,American Honey,2016,https://boxd.it/z1ytX,5,,"Completely objective, yet incredibly intimate— even the most monstrous actions carry hints of beauty.",,2018-11-19
2018-11-29,Waltz with Bashir,2008,https://boxd.it/zpnRH,4,,A hauntingly beautiful film that utlizes its medium to appropriately parallel the director’s delusional justifications for his terrible actions.,,2018-11-28
2018-12-03,Frances Ha,2012,https://boxd.it/zyCXt,5,,"Nuanced, poignant, and beautiful.",,2018-12-02
2018-12-05,The Grand Budapest Hotel,2014,https://boxd.it/zFCox,4,,(Bumped to 4 stars after rewatch),,2018-12-05
2019-01-17,First Reformed,2017,https://boxd.it/C5JhD,4,,"Will God forgive? 
Will God forgive us for what we have done to Earth; For what we have to done to each other; For what we have done to ourselves? 
Toller observes the worst of humanity, bringing subdued anger to a boil inside of him. Apathy clouds over the joy of existence and eclipses any faith in the goodness of humankind. Despair pervades Toller's mind and is pumped through his heart. And it is with this despair that he is able to  achieve a selfish act of forgiveness-- a violent catharsis. For once, he puts himself first and choses to love in the midst of his pain and many burdens. 
Toller does not need God to forgive. We do not need God to forgive. The power of forgiveness comes from the individual and only the individual. 
Will we forgive?",,
2019-01-17,Beautiful Boy,2018,https://boxd.it/C5LDh,3.5,,"A very well done portrayal of drug abuse and the harm it causes to relationships.
No problems with the movie except this has been done before & done much much better. ",,
2019-01-17,Sorry to Bother You,2018,https://boxd.it/C5PQJ,5,,"This film deserves endless praise, yet I have no idea how to do so. It is hilariously dark, narratively inventive, politically poignant. Still, none of these elements make this film what it is. This movie is a masterpiece. 
(There is major potential for this movie to develop a cult following in the years to come.)",,
2019-01-17,Kill the Messenger,2014,https://boxd.it/C5ToJ,2,,"Eh. Not terrible but definitely not okay either. 
Watching this movie felt like a beggar lecturing me on his non-sensical political beliefs as a ploy so that he could take my money while I was distracted. ",,
2019-01-17,Black Mirror: Bandersnatch,2018,https://boxd.it/C5XUz,4,,"I expected a chose-your-own-adventure narrative in which my decisions would alter the character's arc. I guess I kind of forgot that this was Black Mirror. And-- incredibly-- a really fucking good episode at that. 
What is free will? Because there sure as hell isn't any free will to be found here. 
",,
2019-01-17,"Sherlock, Jr.",1924,https://boxd.it/C6thJ,4,,"It is immensely refreshing to watch such an innocent , yet intellectual film.",,2019-01-16
2019-02-09,Palo Alto,2013,https://boxd.it/DsKQJ,3.5,,I’m not bob!!!!,,2019-02-09
2019-03-16,Under the Skin,2013,https://boxd.it/FiKQx,4,,"No idea what I just watched, yet I can’t shake the idea that it felt important.",,2019-03-15
2019-03-18,Swiss Army Man,2016,https://boxd.it/Fp3Ed,4.5,,Pure genius ,,2019-03-16
2019-03-21,Shadow of a Doubt,1943,https://boxd.it/FzpR9,4,,"Subtly frightening in its implications for the “typical” American family. 
Couldn’t stop thinking about Lynch’s white picket fence and the worms that devour the dirt beneath it.",,2019-03-20
2019-04-02,"Synecdoche, New York",2008,https://boxd.it/Gaftl,5,Yes,A masterpiece in every way but holy shit the existential despair is overwhelming.,,2019-03-30
2019-04-02,Badlands,1973,https://boxd.it/Gb1TV,4,,"A psychopath goes on a killing spree in the heart of America, but he looks like James Dean. “Do ya think they’ll take that into consideration?”",,2019-04-01
2019-04-03,Us,2019,https://boxd.it/GdZU9,4.5,,"Any attempt to pull a political purpose here is a strech (probably purposeful red herrings). The meaning lies in the actual story— trauma and redemption.  

At times Peele’s humor almost seems to apologize for his vision, acknowledging its own outrageousness and implausibility.",,2019-04-02
2019-04-04,The Fall,2006,https://boxd.it/GfGJF,4,,The more I think about it the better this movie becomes-- it demands multiple viewings. ,,2019-04-03
2019-04-11,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/GAp5v,4.5,,One of the most fun films,,2019-04-10
2019-04-15,The Rider,2017,https://boxd.it/GKW1h,4.5,,The most successful stories  “wrap a universal story in a culturally specific blanket” (Robert McKee).,,2019-04-13
2019-04-16,Never Let Me Go,2010,https://boxd.it/GPu9x,3,,"This is a good film, albeit an awful adaptation. The novel succeeds through its subtlety and complex themes-- two things that this film lacks",,2019-04-15
2019-04-16,Guava Island,2019,https://boxd.it/GPzMp,3,,"Aesthetically pleasing, but there is really not that much content here. I wish that this was more similar to Kanye's MBDTF movie. ",,
2019-05-02,Burning,2018,https://boxd.it/HBXb9,4,,I love subtle and understated films. For some reason this one felt like a disappointment,,2019-05-02
2019-05-05,Cold War,2018,https://boxd.it/HL9Wp,4.5,,A film adaptation of <i>The Mill on the Floss</i>?,,2019-05-05
2019-05-25,The Perfection,2018,https://boxd.it/IG52h,1,,A heaping pile of shit. Revolting implications. The creative team behind this movie should be ashamed.,,2019-05-25
2019-05-30,Dogville,2003,https://boxd.it/IVTxz,2.5,,This was ridiculous,,2019-05-29
2019-05-30,Let the Right One In,2008,https://boxd.it/IWSe9,4,,*not a horror film*,,2019-05-30
2019-05-30,Kicking and Screaming,1995,https://boxd.it/IX8zx,3,,Awesome writing as usual,,2019-05-30
2019-06-05,The One I Love,2014,https://boxd.it/JePjL,4,,Aardvarks and cosmic aberrations,,2019-06-05
2019-07-28,Three Colors: Blue,1993,https://boxd.it/LTkA7,4,,Beautiful and creative interplay of visuals and sound. Although at times it does seem rather melodramatic.,,2019-07-27
2019-08-03,Boy,2010,https://boxd.it/McPGt,4.5,,"“I thought I was like you, but I’m not. I don’t have any potential.” - Boy",,2019-08-02
2019-08-14,First Man,2018,https://boxd.it/MNBq1,4,,Seeing this in the theatre would have raised my review probably a full star.,,2019-08-13
2019-08-19,On Body and Soul,2017,https://boxd.it/N3AAh,4,Yes,"The ending seemed to be a little too on the nose, especially in comparison with the ambiguise dialogue and suggestive editing. That being said, I do really appreciate the film’s ideas on love... when they finally surpass physical barriers and admit they are in love, the dreams cease. Life itself becomes the dream— a shared reality.",,2019-08-18
2019-08-19,Night Moves,2013,https://boxd.it/N4t0D,3,,Paranoid Jesse Eisenberg is the best Jesse Eisenberg,,2019-08-19
2019-08-19,Thor: Ragnarok,2017,https://boxd.it/N4uF3,1.5,,"God what a shit show. Is this a marvel movie or a CGI orgy? At this point, I’m not sure if there is much of a difference.",,2019-08-19
2019-08-21,Wild Strawberries,1957,https://boxd.it/NaCtB,3.5,,(My first Bergman),,2019-08-20
2019-08-21,Clouds of Sils Maria,2014,https://boxd.it/Nb6LZ,2.5,,"I really hate the episodic feeling that comes from the fade to black moments. The story would have been more powerful if there was a stronger narrative that revealed a theme. Instead it seems that the director opted for episodic moments that revolve around ideas rather than a narrative. I understand the parallel to Maria’s mental state, but the film just meandered a bit much.",,2019-08-21
2019-08-22,Divines,2016,https://boxd.it/Neb93,3,,Bumped up a .5 star for the emotionally explosive final 15 minutes,,2019-08-21
2019-09-02,Blue Valentine,2010,https://boxd.it/NLz9x,5,,(Rewatched and it holds up),,2019-09-01
2019-09-22,Ad Astra,2019,https://boxd.it/ONOFh,4,,"Space is devoid of life, save for the humans that explore it. Humans that are convinced in our purpose being hidden in the stars. Stars that contain brilliant lights and beautiful landscapes, yet never life itself. Humanity searches and scours for a sign — a purpose. Yet, it never reveals itself. It is not hidden in the stars. The ultimate cosmic journey is within the invidual. There is nothing more essential to life then our journey toward love and self acceptance.",,2019-09-21
2019-10-05,Joker,2019,https://boxd.it/PtGst,5,,Masterpiece.,,2019-10-04
2019-10-05,Joker,2019,https://boxd.it/PtI5B,5,Yes,Was this a joke?,,2019-10-04
2019-10-31,The Lighthouse,2019,https://boxd.it/R57w1,,,Nothing in <i>The Lighthouse </i>is black & white — only shades of grey.,,2019-10-30
2019-11-27,"I, Tonya",2017,https://boxd.it/SGJ0v,4,,A surprisingly balanced portrayal. Margot is electric,,2019-11-26
2019-11-29,The Irishman,2019,https://boxd.it/SOjSn,5,,This is the culmination of a generation of cinema,,2019-11-28
2019-11-29,A Separation,2011,https://boxd.it/SQxqh,3.5,,"Very illuminating with its cultural specificity. I'm curious how accurate this depicts the Iranian judicial system. 
The final scene was absolute technical // thematic perfection.",,
2019-11-30,End of Watch,2012,https://boxd.it/SUiSD,3,,Not a fan of the shaky cam / found footage technique,,
2019-12-02,Avatar,2009,https://boxd.it/T0M5N,2.5,,Holy shit this did not age well,,2019-12-01
2019-12-08,Marriage Story,2019,https://boxd.it/TofL5,4.5,,So raw and understated,,2019-12-07
2019-12-12,Sorry to Bother You,2018,https://boxd.it/TEMcz,3.5,Yes,rewatch doesn’t really hold up,,2019-12-11
2019-12-12,Cléo from 5 to 7,1962,https://boxd.it/TERCn,4.5,,A feeling that I can’t articulate,,2019-12-11
2019-12-15,Breathless,1960,https://boxd.it/TRV8n,4,,So many perfectly human moments,,2019-12-14
2019-12-18,Atlantics,2019,https://boxd.it/U47yr,4.5,,Long shots of ocean + blaring bladerunnerish synths...,,2019-12-17
2019-12-21,Joker,2019,https://boxd.it/UeWeH,4.5,Yes,palpable anger,,2019-12-20
2019-12-21,Logan's Run,1976,https://boxd.it/Ui5Hf,3.5,,Logans run manages to be completely charming despite its disastrous understanding of what makes for <i>epic </i>cinema.,,2019-12-21
2019-12-23,The Last Black Man in San Francisco,2019,https://boxd.it/UsOpF,4,,Absolutely stunning cinematography and score— not quite sure why I didn’t fall head over heels for this,,2019-12-23
2019-12-27,Sweetheart,2019,https://boxd.it/ULhqj,1,,God this movie sucks,,2019-12-26
2019-12-27,Uncut Gems,2019,https://boxd.it/UMOkv,4.5,,Inject this straight into my veins,,2019-12-26
2019-12-27,Vivre Sa Vie,1962,https://boxd.it/UNy81,4,,"Simultaneous conflicting truths
(Ugliness and beauty)",,2019-12-26
2019-12-29,Manhattan,1979,https://boxd.it/UZqad,4,,that was disturbing (woody Allen),,2019-12-29
2019-12-30,Waves,2019,https://boxd.it/V3xt5,5,,No words,,2019-12-29
2020-01-02,In the Mood for Love,2000,https://boxd.it/VpvXL,4.5,,"“Feelings can creep up just like that” 
<i>In the Mood for Love </i>certainly does.
———————————————————-

<blockquote>“He remembers those vanished years. As though looking through a dusty window pane, the past is something he could see, but not touch. And everything he sees is blurred and indistinct.”</blockquote>",,2020-01-02
2020-01-03,Sweet Virginia,2017,https://boxd.it/VvPAf,1.5,,“Let’s make something gritty and slow and uhhhhh... dark!”,,2020-01-02
2020-01-04,Persona,1966,https://boxd.it/VCdsh,5,,so much of <i>Persona </i>defies explanation<i>— </i>emotion incarnate.,,2020-01-03
2020-01-05,The Lure,2015,https://boxd.it/VJ82d,1,,Refusing to watch the remaining 62 minutes of this. Who knew that pornographic mermaid musicals could be so incredible boring,,2020-01-04
2020-01-06,Thoroughbreds,2017,https://boxd.it/VQTR7,3.5,,"Strong performances, aesthetics, and set design. The ending sucked though",,2020-01-06
2020-01-10,Eroica,1958,https://boxd.it/W9QsL,3,,FTVM 314- polish cinema,,2020-01-09
2020-01-11,1917,2019,https://boxd.it/WgMk3,3.5,,eh,,2020-01-10
2020-01-13,John Wick: Chapter 3 - Parabellum,2019,https://boxd.it/Wuz2j,3,,Wishing the world building went in slightly different direction. Plus the dialogue was pretty terrible,,2020-01-12
2020-01-14,The Rain People,1969,https://boxd.it/WB50h,4,,I love the intercutting memories— accentuated emotions & heightened complexity.,,2020-01-13
2020-01-16,A Generation,1955,https://boxd.it/WMLwB,3,,Watched for 314,,2020-01-15
2020-01-23,Ashes and Diamonds,1958,https://boxd.it/XqgDV,4,,"What is cinema? 
-inverted crucifixion 
-white sheets obfuscating identity while blood seeps 
-textures of light and skin in dark bed
-every frame with Krystyna 
-“Are you artists or people?” - communist party official",,2020-01-22
2020-01-27,Brawl in Cell Block 99,2017,https://boxd.it/XMPpt,4,,saw but art? maybe?,,2020-01-26
2020-01-28,Electra Glide in Blue,1973,https://boxd.it/XRh89,3,,Enjoyable movie with a wildly inconsistent narrative and confused style,,2020-01-27
2020-01-28,High Life,2018,https://boxd.it/XSYmv,2,,"I wish I loved this, but I don't think I even liked it",,2020-01-28
2020-01-30,Knife in the Water,1962,https://boxd.it/Y0vU5,4.5,,"Intense and understated. (relatable)
Plus Christina is beautiful",,2020-01-29
2020-02-06,Illumination,1973,https://boxd.it/YCZlb,4,,"A powerful film that mirrors it’s main character’s mind. 
(Reminded me of Malick’s work, but rationalizing with information rather than emotion)",,2020-02-05
2020-02-13,Man of Marble,1977,https://boxd.it/ZfKKt,3.5,,"Under some conditions film is an obfuscation. Under other conditions it will reveal truth.

The cultural specificity likely restrained this movie’s impact on me",,2020-02-12
2020-02-21,Shivers,1981,https://boxd.it/ZXrpz,4,,Extremely disturbing. I’ve never seen a movie about similar time periods that adopts such an immersive perspective,,2020-02-20
2020-02-27,Camera Buff,1979,https://boxd.it/10trfN,4.5,,"-Final sequence is gorgeous
-film is a contradiction",,2020-02-26
2020-03-08,Waves,2019,https://boxd.it/11eDX7,5,Yes,Second viewing and I love it even more,,2020-03-07
2020-03-08,Ford v Ferrari,2019,https://boxd.it/11eFkL,4,,Unapologetically American,,2020-03-07
2020-03-11,High School,1968,https://boxd.it/11rQoZ,3,,Education during the counter culture,,2020-03-10
2020-03-13,Birds of Passage,2018,https://boxd.it/11Agnz,4,Yes,Maybe +1 if I saw it on blu-ray,,2020-03-12
2020-03-16,Solaris,1972,https://boxd.it/11OJjJ,5,Yes,cinema,,2020-03-15
2020-03-17,The Seventh Seal,1957,https://boxd.it/11YQHt,3.5,,Criterion 2009 copy,,2020-03-16
2020-03-21,9,2009,https://boxd.it/12j6EZ,1.5,,Fun to look at and entertaining(ish),,2020-03-20
2020-03-25,Bullet in the Head,1990,https://boxd.it/12PxPT,1.5,,"Ive now seen two John Woo movies and I hope to never be forced to watch a third.
(First movie under quarantine)",,2020-03-25
2020-03-25,A Woman Alone,1981,https://boxd.it/12Q8uD,3.5,,"-grey and bleak
-Two endings or just an unnecessary epilogue?
(second movie under quarantine)",,
2020-03-27,Ju Dou,1990,https://boxd.it/12ZtOR,4.5,,"Unfortunately a lot of the cultural implications went over my head, but oh my god this is masterful storytelling. Beautiful, perverse, and intimate all at the same time",,2020-03-26
2020-03-28,The Art of Self-Defense,2019,https://boxd.it/134SEx,3.5,,"A creative, left-leaning deconstruction of toxic masculinity",,2020-03-27
2020-03-28,Portrait of a Lady on Fire,2019,https://boxd.it/139okH,5,,"Cinema has never been better: simultaneously subtle and overwhelming.

<blockquote><i>“Do all lovers feel that they’re inventing something?”</i></blockquote>",,2020-03-28
2020-03-29,Three Colors: White,1994,https://boxd.it/13goFf,4,,reversal of expectations over and over. I'm really starting to love Kieslowski,,
2020-03-30,The Square,2017,https://boxd.it/13nF5x,4.5,,My favorite comedy in recent memory. The Palme d’or placement at the beginning intentionally elevates the comedy even further. ,,2020-03-29
2020-03-30,Three Colors: Red,1994,https://boxd.it/13qtCv,4.5,,"<blockquote>“<i>It feels like something important is happening around me and it scares me.</i>”</blockquote>
-Fate, coincidence, or chance
-Existentialism
-The sun pushing through
Incredible conclusion to the trilogy.",,
2020-03-30,Resident Evil: Extinction,2007,https://boxd.it/13rtCn,0.5,,lol,,
2020-04-01,Next Floor,2008,https://boxd.it/13DDE3,,,So it turns out that Netflix’s “The Platform” is not creative at all,,2020-03-31
2020-04-01,Memories of Underdevelopment,1968,https://boxd.it/13DZgn,4,,"This is an <b>extremely</b> difficult film. I have never seen a movie accomplish an ambiguity like this— especially when depicting events so concretely. This was obviously a parallel to the politics, but oh my god that does not make it easier to swallow",,2020-03-31
2020-04-01,Circle,2015,https://boxd.it/13FzxL,1,,"God this is so bad. The efforts to make it representative / PC are ridiculous. A robot could’ve written this script


(look at the cast names for a good laugh)",,2020-04-01
2020-04-03,Would You Rather,2012,https://boxd.it/13Pibt,2,,ew,,
2020-04-03,Dogs,1992,https://boxd.it/13SI6F,3,,"-Frequently confusing, rather than sophisticated
-Insanely generic lines that try too hard to make Franz a polish Scarface
-Outright sexist",,2020-04-02
2020-04-03,Minority Report,2002,https://boxd.it/13U9bT,3.5,,I mean... it’s a Spielberg movie,,2020-04-03
2020-04-05,Akira,1988,https://boxd.it/144eLx,4,,I need to start watching more anime. An absolutely bonkers second half,,2020-04-04
2020-04-06,Stalker,1979,https://boxd.it/14ifOP,5,,"Impossible to truly comprehend, but don’t they say the same about the human brain?

<blockquote><i>“Don’t be angry, but I must warn you. We’re now standing at the threshold. This is the most important moment in your life. You should know that your most cherished desire will come true here. Your sincerest wish, the desire that has made you suffer most.”</i></blockquote>Visually, the film is a literal maze— heightened and mysticized by both the mysteries of faith and the consequences of human action.",,2020-04-06
2020-04-07,Funny Games,1997,https://boxd.it/14pxyz,0.5,,"This is not funny at all. It’s fucking disgusting. I have literally never hated a movie this much


(April 9th: I admit that this is a really good movie. It worked on me.  I felt both disgusted and guilty)",,2020-04-07
2020-04-08,Touki Bouki,1973,https://boxd.it/14uVqT,2.5,,"- beautiful culture (yet with some dark / graphic elements)
- French new wave editing (at times)",,2020-04-07
2020-04-09,Man on a Ledge,2012,https://boxd.it/14CXy7,1,,😐,,2020-04-09
2020-04-11,Border,2018,https://boxd.it/14Oo7J,3.5,,"What do custom agents, intersex trolls, and pedophilia rings all have in common?",,2020-04-10
